problem,instance,algorithm,config_label,evaluations,mean_cost,std_cost
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15301,7781.733333333334,119.46517856216047
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15422,7780.266666666666,120.60152938038925
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15542,7776.333333333333,126.15052736931207
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15663,7772.466666666666,129.96710694975437
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15783,7769.066666666667,129.58110287469472
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",15904,7767.533333333334,132.09838084633066
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16024,7767.533333333334,132.09838084633066
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16145,7754.733333333334,136.58914874745926
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16265,7754.733333333334,136.58914874745926
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16386,7754.733333333334,136.58914874745926
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16506,7754.733333333334,136.58914874745926
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16627,7754.733333333334,136.58914874745926
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16747,7754.733333333334,136.58914874745926
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16867,7753.333333333333,136.63560622652096
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",16988,7753.333333333333,136.63560622652096
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",17108,7753.277108433735,136.64166614431608
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",17229,7753.266666666666,136.64282718907063
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",17349,7753.266666666666,136.64282718907063
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",17470,7753.266666666666,136.64282718907063
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",17590,7753.266666666666,136.64282718907063
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",17711,7753.266666666666,136.64282718907063
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",17831,7753.266666666666,136.64282718907063
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",17952,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",18072,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",18193,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",18313,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",18434,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",18554,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",18675,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",18795,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",18916,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",19036,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",19157,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",19277,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",19398,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",19518,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",19639,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",19759,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",19880,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",20000,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",20120,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",20241,7751.733333333334,136.93427458293837
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",20361,7748.133333333333,141.02523020919182
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",20482,7748.133333333333,141.02523020919182
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",20602,7740.466666666666,148.68887726465024
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",20723,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",20843,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",20964,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",21084,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",21205,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",21325,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",21446,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",21566,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",21687,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",21807,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",21928,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",22048,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",22169,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",22289,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",22410,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",22530,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",22651,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",22771,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",22892,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",23012,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",23133,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",23253,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",23373,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",23494,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",23614,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",23735,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",23855,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",23976,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",24096,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",24217,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",24337,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",24458,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",24578,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",24699,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",24819,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",24940,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",25060,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",25181,7738.933333333333,150.59679795917162
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",25301,7738.933333333333,150.59679795917162
