problem,problem_type,n,instance,algorithm,config_label,seed,rho,archive_size,num_ants,q0,alpha,beta,max_iterations,fitness_evaluations,iterations,final_fitness,reached_optimum,best_cost,gap_percent,elapsed_seconds
tsp,tsp,52,berlin52,MMAS,"rho=0.1, ants=10, beta=3",14,0.1,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.402627944946289
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",0,0.5,,10,,1.0,2.0,3000,30010,3000,,,7745,2.6915937417130733,7.4087889194488525
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",1,0.5,,10,,1.0,2.0,3000,30010,3000,,,7618,1.007690267833466,7.416270971298218
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",2,0.5,,10,,1.0,2.0,3000,30010,3000,,,7542,0.0,7.5389509201049805
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",3,0.5,,10,,1.0,2.0,3000,30010,3000,,,7749,2.7446300715990453,7.420722007751465
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",4,0.5,,10,,1.0,2.0,3000,30010,3000,,,7944,5.330151153540175,7.395506858825684
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",5,0.5,,10,,1.0,2.0,3000,30010,3000,,,7912,4.9058605144524,7.410928249359131
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",6,0.5,,10,,1.0,2.0,3000,30010,3000,,,7775,3.0893662158578623,7.4144556522369385
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",7,0.5,,10,,1.0,2.0,3000,30010,3000,,,7755,2.824184566428003,7.44196081161499
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",8,0.5,,10,,1.0,2.0,3000,30010,3000,,,7542,0.0,7.4147117137908936
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",9,0.5,,10,,1.0,2.0,3000,30010,3000,,,7902,4.77326968973747,7.4206390380859375
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",10,0.5,,10,,1.0,2.0,3000,30010,3000,,,8008,6.178732431715725,7.511359930038452
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",11,0.5,,10,,1.0,2.0,3000,30010,3000,,,7657,1.5247944842216918,7.416281223297119
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",12,0.5,,10,,1.0,2.0,3000,30010,3000,,,7948,5.383187483426147,7.414660930633545
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",13,0.5,,10,,1.0,2.0,3000,30010,3000,,,7542,0.0,7.418320894241333
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=2",14,0.5,,10,,1.0,2.0,3000,30010,3000,,,8011,6.218509679130204,7.409055948257446
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",0,0.5,,10,,1.0,3.0,3000,30010,3000,,,7986,5.88703261734288,7.401751756668091
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",1,0.5,,10,,1.0,3.0,3000,30010,3000,,,7944,5.330151153540175,7.40156888961792
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",2,0.5,,10,,1.0,3.0,3000,30010,3000,,,7902,4.77326968973747,7.412452697753906
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",3,0.5,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.489664077758789
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",4,0.5,,10,,1.0,3.0,3000,30010,3000,,,7915,4.9456377618668785,7.416172027587891
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",5,0.5,,10,,1.0,3.0,3000,30010,3000,,,7915,4.9456377618668785,7.412461757659912
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",6,0.5,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.403422832489014
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",7,0.5,,10,,1.0,3.0,3000,30010,3000,,,7715,2.2938212675682843,7.406658887863159
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",8,0.5,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.436355829238892
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",9,0.5,,10,,1.0,3.0,3000,30010,3000,,,7542,0.0,7.400414943695068
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",10,0.5,,10,,1.0,3.0,3000,30010,3000,,,7944,5.330151153540175,7.4108428955078125
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",11,0.5,,10,,1.0,3.0,3000,30010,3000,,,7902,4.77326968973747,7.41142201423645
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",12,0.5,,10,,1.0,3.0,3000,30010,3000,,,7715,2.2938212675682843,7.505238056182861
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",13,0.5,,10,,1.0,3.0,3000,30010,3000,,,7954,5.462741978255105,7.408963203430176
tsp,tsp,52,berlin52,MMAS,"rho=0.5, ants=10, beta=3",14,0.5,,10,,1.0,3.0,3000,30010,3000,,,7715,2.2938212675682843,7.403340101242065
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",0,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7542,0.0,20.47908902168274
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",1,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7848,4.05727923627685,20.590248823165894
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",2,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7542,0.0,20.431937217712402
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",3,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7542,0.0,20.44106698036194
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",4,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7715,2.2938212675682843,20.589651823043823
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",5,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7542,0.0,20.437180042266846
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",6,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7715,2.2938212675682843,20.457859754562378
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",7,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7542,0.0,20.533411979675293
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",8,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7542,0.0,20.474243640899658
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",9,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7749,2.7446300715990453,20.474651098251343
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",10,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7542,0.0,20.506880044937134
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",11,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7542,0.0,20.44222617149353
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",12,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7542,0.0,20.4126079082489
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",13,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7542,0.0,20.559802055358887
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=2",14,,5,30,0.7,1.0,2.0,3000,90030,3000,,,7542,0.0,20.414133071899414
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",0,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7542,0.0,20.43988013267517
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",1,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7542,0.0,20.592892169952393
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",2,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7542,0.0,20.417480945587158
tsp,tsp,52,berlin52,P-ACO,"K=5, ants=30, q0=0.7, beta=3",3,,5,30,0.7,1.0,3.0,3000,90030,3000,,,7542,0.0,20.43509793281555
