problem,crossover,generation,fitness_evaluations,mean_fitness,std_fitness,min_fitness,max_fitness,bit_length,trials
onemax,three_point,74,1855,99.92,0.2712931993250107,99.0,100.0,100,50
onemax,three_point,75,1880,99.92,0.2712931993250107,99.0,100.0,100,50
onemax,three_point,76,1905,99.96,0.19595917942265423,99.0,100.0,100,50
onemax,three_point,77,1930,99.98,0.14,99.0,100.0,100,50
onemax,three_point,78,1955,99.98,0.14,99.0,100.0,100,50
onemax,three_point,79,1980,99.98,0.14,99.0,100.0,100,50
onemax,three_point,80,2005,99.98,0.14,99.0,100.0,100,50
onemax,three_point,81,2030,99.98,0.14,99.0,100.0,100,50
onemax,three_point,82,2055,99.98,0.14,99.0,100.0,100,50
onemax,three_point,83,2080,99.98,0.14,99.0,100.0,100,50
onemax,three_point,84,2105,99.98,0.14,99.0,100.0,100,50
onemax,three_point,85,2130,99.98,0.14,99.0,100.0,100,50
onemax,three_point,86,2155,99.98,0.14,99.0,100.0,100,50
onemax,three_point,87,2180,99.98,0.14,99.0,100.0,100,50
onemax,three_point,88,2205,99.98,0.14,99.0,100.0,100,50
onemax,three_point,89,2230,99.98,0.14,99.0,100.0,100,50
onemax,three_point,90,2255,100.0,0.0,100.0,100.0,100,50
onemax,four_point,0,5,55.12,3.32048189273786,48.0,63.0,100,50
onemax,four_point,1,30,58.74,3.2729802932495637,51.0,67.0,100,50
onemax,four_point,2,55,61.68,3.094769781421552,54.0,70.0,100,50
onemax,four_point,3,80,63.98,3.0950928903669435,59.0,73.0,100,50
onemax,four_point,4,105,66.12,3.210233636357329,59.0,75.0,100,50
onemax,four_point,5,130,67.82,3.1918019988714836,62.0,77.0,100,50
onemax,four_point,6,155,69.38,2.9791945220142977,63.0,78.0,100,50
onemax,four_point,7,180,71.04,2.945912422323515,65.0,80.0,100,50
onemax,four_point,8,205,72.86,2.8566413845633476,66.0,82.0,100,50
onemax,four_point,9,230,74.42,2.885064990602465,67.0,83.0,100,50
onemax,four_point,10,255,75.9,2.692582403567252,70.0,85.0,100,50
onemax,four_point,11,280,77.34,2.6276224995230955,72.0,86.0,100,50
onemax,four_point,12,305,78.84,2.7521627858831312,73.0,88.0,100,50
onemax,four_point,13,330,80.14,2.7568822970885063,74.0,90.0,100,50
onemax,four_point,14,355,81.32,2.671628716719447,76.0,91.0,100,50
onemax,four_point,15,380,82.68,2.611053427258814,77.0,91.0,100,50
onemax,four_point,16,405,83.9,2.515949125081825,79.0,92.0,100,50
onemax,four_point,17,430,85.14,2.623051657897724,80.0,93.0,100,50
onemax,four_point,18,455,86.0,2.630589287593181,81.0,93.0,100,50
onemax,four_point,19,480,87.12,2.4870866490735706,82.0,93.0,100,50
onemax,four_point,20,505,88.08,2.431789464571306,83.0,93.0,100,50
onemax,four_point,21,530,88.92,2.390313786932586,84.0,94.0,100,50
onemax,four_point,22,555,89.8,2.2181073012818833,85.0,94.0,100,50
onemax,four_point,23,580,90.68,2.1581473536345936,85.0,96.0,100,50
onemax,four_point,24,605,91.38,2.0188115315699977,86.0,96.0,100,50
onemax,four_point,25,630,92.12,2.0846102753272615,86.0,97.0,100,50
onemax,four_point,26,655,92.76,2.0155396299750596,87.0,97.0,100,50
onemax,four_point,27,680,93.46,1.9515122341404885,88.0,98.0,100,50
onemax,four_point,28,705,93.96,1.8542923178398816,89.0,98.0,100,50
onemax,four_point,29,730,94.44,1.899052395275075,89.0,98.0,100,50
onemax,four_point,30,755,95.06,1.8155990746858184,90.0,98.0,100,50
onemax,four_point,31,780,95.48,1.6761861471805568,92.0,99.0,100,50
onemax,four_point,32,805,95.88,1.5829087149927503,93.0,99.0,100,50
onemax,four_point,33,830,96.04,1.5869467539901896,93.0,99.0,100,50
onemax,four_point,34,855,96.36,1.5717506163510802,93.0,99.0,100,50
onemax,four_point,35,880,96.7,1.4594519519326425,94.0,100.0,100,50
onemax,four_point,36,905,97.04,1.3850631754544627,94.0,100.0,100,50
onemax,four_point,37,930,97.34,1.3358143583597235,94.0,100.0,100,50
onemax,four_point,38,955,97.54,1.22,95.0,100.0,100,50
onemax,four_point,39,980,97.66,1.226539848516957,95.0,100.0,100,50
onemax,four_point,40,1005,97.88,1.1771151175649728,95.0,100.0,100,50
onemax,four_point,41,1030,98.0,1.1661903789690602,95.0,100.0,100,50
onemax,four_point,42,1055,98.16,1.1019981851164729,95.0,100.0,100,50
onemax,four_point,43,1080,98.3,1.0440306508910548,96.0,100.0,100,50
onemax,four_point,44,1105,98.42,1.0409610943738483,96.0,100.0,100,50
onemax,four_point,45,1130,98.6,0.9591663046625439,97.0,100.0,100,50
onemax,four_point,46,1155,98.7,0.9433981132056604,97.0,100.0,100,50
onemax,four_point,47,1180,98.78,0.9228217596047461,97.0,100.0,100,50
onemax,four_point,48,1205,98.9,0.9,97.0,100.0,100,50
onemax,four_point,49,1230,98.98,0.905317623820502,97.0,100.0,100,50
onemax,four_point,50,1255,99.04,0.9156418513807678,97.0,100.0,100,50
onemax,four_point,51,1280,99.12,0.8634813257969162,97.0,100.0,100,50
onemax,four_point,52,1305,99.3,0.7810249675906654,97.0,100.0,100,50
onemax,four_point,53,1330,99.34,0.7644605941446557,97.0,100.0,100,50
onemax,four_point,54,1355,99.42,0.7236021006050217,97.0,100.0,100,50
onemax,four_point,55,1380,99.46,0.72691127381545,97.0,100.0,100,50
onemax,four_point,56,1405,99.52,0.6997142273814361,97.0,100.0,100,50
