problem,crossover,bit_length,mu,lambda,seed,fitness_evaluations,iterations,final_fitness,reached_optimum,elapsed_seconds
onemax,four_point,100,5,25,16,1080,43,100,True,0.012032032012939453
onemax,four_point,100,5,25,17,2555,102,100,True,0.027827978134155273
onemax,four_point,100,5,25,18,1455,58,100,True,0.0160677433013916
onemax,four_point,100,5,25,19,1155,46,100,True,0.012532949447631836
onemax,four_point,100,5,25,20,1280,51,100,True,0.014194965362548828
onemax,four_point,100,5,25,21,1205,48,100,True,0.01317286491394043
onemax,four_point,100,5,25,22,2105,84,100,True,0.022890090942382812
onemax,four_point,100,5,25,23,1530,61,100,True,0.01654791831970215
onemax,four_point,100,5,25,24,2005,80,100,True,0.022186994552612305
onemax,four_point,100,5,25,25,1580,63,100,True,0.017480850219726562
onemax,four_point,100,5,25,26,1205,48,100,True,0.01323080062866211
onemax,four_point,100,5,25,27,1130,45,100,True,0.012541055679321289
onemax,four_point,100,5,25,28,1305,52,100,True,0.014061927795410156
onemax,four_point,100,5,25,29,1255,50,100,True,0.013860940933227539
onemax,four_point,100,5,25,30,1305,52,100,True,0.01434016227722168
onemax,four_point,100,5,25,31,1330,53,100,True,0.01468515396118164
onemax,four_point,100,5,25,32,1805,72,100,True,0.020203113555908203
onemax,four_point,100,5,25,33,1480,59,100,True,0.01648998260498047
onemax,four_point,100,5,25,34,1130,45,100,True,0.012486934661865234
onemax,four_point,100,5,25,35,1405,56,100,True,0.01568603515625
onemax,four_point,100,5,25,36,880,35,100,True,0.009763717651367188
onemax,four_point,100,5,25,37,1355,54,100,True,0.014625072479248047
onemax,four_point,100,5,25,38,1480,59,100,True,0.016339778900146484
onemax,four_point,100,5,25,39,1780,71,100,True,0.019956111907958984
onemax,four_point,100,5,25,40,1555,62,100,True,0.017021894454956055
onemax,four_point,100,5,25,41,1105,44,100,True,0.012186765670776367
onemax,four_point,100,5,25,42,1030,41,100,True,0.011410951614379883
onemax,four_point,100,5,25,43,1530,61,100,True,0.016726016998291016
onemax,four_point,100,5,25,44,1555,62,100,True,0.016932964324951172
onemax,four_point,100,5,25,45,1580,63,100,True,0.01749396324157715
onemax,four_point,100,5,25,46,1305,52,100,True,0.014187097549438477
onemax,four_point,100,5,25,47,1705,68,100,True,0.01878190040588379
onemax,four_point,100,5,25,48,1105,44,100,True,0.012418746948242188
onemax,four_point,100,5,25,49,1780,71,100,True,0.019404172897338867
onemax,uniform,100,5,25,0,1630,65,100,True,0.022154808044433594
onemax,uniform,100,5,25,1,1005,40,100,True,0.013565778732299805
